SIL-ENCE 1.0	sil
<unk> 1.0	spn
[s] 1.0	nse
a 1.0	E
aa 1.0	a
aa 1.0	a a
aamlungiselelo 1.0	a a m l u N g i s E l E l O
ababa 1.0	a b_< a b_< a
abababhekayo 1.0	a b_< a b_< a b E k a j O
ababaletha 1.0	a b_< a b_< a l E t_h a
ababali 1.0	a b_< a b_< a l i
ababalulekile 1.0	a b_< a b_< a l u l E k i l E
ababamba 1.0	a b_< a b_< a m b a
ababambe 1.0	a b_< a b_< a m b E
ababan 1.0	a b_< a b_< a n
ababe 1.0	a b_< a b_< E
ababebandlululiwe 1.0	a b_< a b_< E b_< a n K\ u l u l i w E
ababebukele 1.0	a b_< a b_< E b_< u k E l E
ababefaka 1.0	a b_< a b_< E f a k a
ababefunda 1.0	a b_< a b_< E f u n d a
ababehamba 1.0	a b_< a b_< E h a m b a
ababemngungile 1.0	a b_< a b_< E m N g u N g i l E
ababenamandla 1.0	a b_< a b_< E n a m a n K\ a
ababencishwe 1.0	a b_< a b_< E n |\ i S w E
ababenomcebo 1.0	a b_< a b_< E n O m |\ E b_< O
ababenza 1.0	a b_< a b_< E n dz a
ababephendula 1.0	a b_< a b_< E p_h E n d u l a
ababesekudingisweni 1.0	a b_< a b_< E s E k u d i N g i s w E n i
ababezolondoloza 1.0	a b_< a b_< E z O l O n d O l O z a
ababhali 1.0	a b_< a b a l i
ababhalise 1.0	a b_< a b a l i s E
ababhalisile 1.0	a b_< a b a l i s i l E
ababhekana 1.0	a b_< a b E k a n a
ababheke 1.0	a b_< a b E k E
ababhema 1.0	a b_< a b E m a
ababhemayo 1.0	a b_< a b E m a j O
ababi 1.0	a b_< a b_< i
ababika 1.0	a b_< a b_< i k a
ababili 1.0	a b_< a b_< i l i
ababona 1.0	a b_< a b_< O n a
ababonakala 1.0	a b_< a b_< O n a k a l a
ababophezekile 1.0	a b_< a b_< O p_h E z E k i l E
ababoshiwe 1.0	a b_< a b_< O S i w E
ababoshwe 1.0	a b_< a b_< O S w E
ababuke 1.0	a b_< a b_< u k E
ababulawa 1.0	a b_< a b_< u l a w a
ababulewe 1.0	a b_< a b_< u l E w E
ababusi 1.0	a b_< a b_< u s i
ababuya 1.0	a b_< a b_< u j a
abacala 1.0	a b_< a |\ a l a
abaceli 1.0	a b_< a |\ E l i
abachaziwe 1.0	a b_< a |\h a z i w E
abaculi 1.0	a b_< a |\ u l i
abacwaningi 1.0	a b_< a |\ w a n i N g i
abadala 1.0	a b_< a d a l a
abadalulwa 1.0	a b_< a d a l u l w a
abadayisi 1.0	a b_< a d a j i s i
abadingayo 1.0	a b_< a d i N g a j O
abadingeka 1.0	a b_< a d i N g E k a
abadla 1.0	a b_< a K\ a
abadlala 1.0	a b_< a K\ a l a
abadlale 1.0	a b_< a K\ a l E
abadlali 1.0	a b_< a K\ a l i
abadle 1.0	a b_< a K\ E
abadlulisi 1.0	a b_< a K\ u l i s i
abadobela 1.0	a b_< a d O b_< E l a
abadobi 1.0	a b_< a d O b_< i
abadukile 1.0	a b_< a d u k i l E
abadumile 1.0	a b_< a d u m i l E
abafa 1.0	a b_< a f a
abafake 1.0	a b_< a f a k E
abafakelwa 1.0	a b_< a f a k E l w a
abafaki 1.0	a b_< a f a k i
abafakwe 1.0	a b_< a f a k w E
abafana 1.0	a b_< a f a n a
abafanele 1.0	a b_< a f a n E l E
abafaneleke 1.0	a b_< a f a n E l E k E
abafisa 1.0	a b_< a f i s a
abafohlayo 1.0	a b_< a f O K a j O
abafowenu 1.0	a b_< a f O w E n u
abafowethu 1.0	a b_< a f O w E t_h u
abafufusayo 1.0	a b_< a f u f u s a j O
abafuna 1.0	a b_< a f u n a
abafundi 1.0	a b_< a f u n d i
abafundisi 1.0	a b_< a f u n d i s i
abafuneka 1.0	a b_< a f u n E k a
abafunyanwa 1.0	a b_< a f u J a n w a
abagananayo 1.0	a b_< a g a n a n a j O
abaganene 1.0	a b_< a g a n E n E
abagcina 1.0	a b_< a |\g_0 i n a
abagcini 1.0	a b_< a |\g_0 i n i
abagibeli 1.0	a b_< a g i b_< E l i
abagqamile 1.0	a b_< a !\g_0 a m i l E
abagqunywe 1.0	a b_< a !\g_0 u J w E
abagula 1.0	a b_< a g u l a
abagulayo 1.0	a b_< a g u l a j O
abagunyazwe 1.0	a b_< a g u J a z w E
abaguquli 1.0	a b_< a g u !\ u l i
abahamba 1.0	a b_< a h a m b a
abahlala 1.0	a b_< a K a l a
abahlali 1.0	a b_< a K a l i
abahlanganayo 1.0	a b_< a K a N g a n a j O
abahlanganyeli 1.0	a b_< a K a N g a J E l i
abahlaseli 1.0	a b_< a K a s E l i
abahlengi 1.0	a b_< a K E N g i
abahlengikazi 1.0	a b_< a K E N g i k a z i
abahlinzeki 1.0	a b_< a K i n dz E k i
abahloli 1.0	a b_< a K O l i
abahlolwayo 1.0	a b_< a K O l w a j O
abahlongozwayo 1.0	a b_< a K O N g O z w a j O
abahlonishwa 1.0	a b_< a K O n i S w a
abahlukene 1.0	a b_< a K u k E n E
abahlukunyeziwe 1.0	a b_< a K u k u J E z i w E
abahlukunyezwe 1.0	a b_< a K u k u J E z w E
abahluleli 1.0	a b_< a K u l E l i
abahluphekayo 1.0	a b_< a K u p_h E k a j O
abahluphekile 1.0	a b_< a K u p_h E k i l E
abahlushwayo 1.0	a b_< a K u S w a j O
abahlwempu 1.0	a b_< a K w E m p_> u
abaholelwa 1.0	a b_< a h O l E l w a
abaholi 1.0	a b_< a h O l i
abahumushi 1.0	a b_< a h u m u S i
abajube 1.0	a b_< a d_0Z u b_< E
abajwayelekile 1.0	a b_< a d_0Z w a j E l E k i l E
abake 1.0	a b_< a k E
abakhabokamama 1.0	a b_< a k_h a b_< O k a m a m a
abakhali 1.0	a b_< a k_h a l i
abakhethelwe 1.0	a b_< a k_h E t_h E l w E
abakhethwa 1.0	a b_< a k_h E t_h w a
abakhi 1.0	a b_< a k_h i
abakhipha 1.0	a b_< a k_h i p_h a
abakhiqizi 1.0	a b_< a k_h i !\ i z i
abakhokhela 1.0	a b_< a k_h O k_h E l a
abakhokhelwayo 1.0	a b_< a k_h O k_h E l w a j O
abakhokhi 1.0	a b_< a k_h O k_h i
abakholwa 1.0	a b_< a k_h O l w a
abakhona 1.0	a b_< a k_h O n a
abakhongi 1.0	a b_< a k_h O N g i
abakhudlwana 1.0	a b_< a k_h u K\ w a n a
abakhulelwe 1.0	a b_< a k_h u l E l w E
abakhulu 1.0	a b_< a k_h u l u
abakhulumayo 1.0	a b_< a k_h u l u m a j O
abakhulumeli 1.0	a b_< a k_h u l u m E l i
abakhunkuli 1.0	a b_< a k_h u N k u l i
abakhuzi 1.0	a b_< a k_h u z i
abakhwenyana 1.0	a b_< a k_h w E J a n a
abakhweza 1.0	a b_< a k_h w E z a
abakokhubonye 1.0	a b_< a k O k_h u b_< O J E
abakubo 1.0	a b_< a k u b_< O
abakucabangayo 1.0	a b_< a k u |\ a b_< a N g a j O
abakufundayo 1.0	a b_< a k u f u n d a j O
abakufundile 1.0	a b_< a k u f u n d i l E
abakulelizwe 1.0	a b_< a k u l E l i z w E
abakuthatha 1.0	a b_< a k u t_h a t_h a
abakutholile 1.0	a b_< a k u t_h O l i l E
abakwa 1.0	a b_< a k w a
abakwamanye 1.0	a b_< a k w a m a J E
abakwamidiyani 1.0	a b_< a k w a m i d i j a n i
abakwandwandwe 1.0	a b_< a k w a n d w a n d w E
abakwanzuza 1.0	a b_< a k w a n dz u z a
abakwazi 1.0	a b_< a k w a z i
abakwelaphayo 1.0	a b_< a k w E l a p_h a j O
abakweletayo 1.0	a b_< a k w E l E t_> a j O
abalaleleisib 1.0	a b_< a l a l E l E i s i b_<
abalaleli 1.0	a b_< a l a l E l i
abalalisiwe 1.0	a b_< a l a l i s i w E
abalandela 1.0	a b_< a l a n d E l a
abalandelayo 1.0	a b_< a l a n d E l a j O
abalandeli 1.0	a b_< a l a n d E l i
abaleke 1.0	a b_< a l E k E
abalele 1.0	a b_< a l E l E
abalifica 1.0	a b_< a l i f i |\ a
abalimi 1.0	a b_< a l i m i
abalisebenzisayo 1.0	a b_< a l i s E b_< E n dz i s a j O
abalufundele 1.0	a b_< a l u f u n d E l E
abalulekile 1.0	a b_< a l u l E k i l E
abalulwe 1.0	a b_< a l u l w E
abalungisa 1.0	a b_< a l u N g i s a
abalusebenzisa 1.0	a b_< a l u s E b_< E n dz i s a
abalwe 1.0	a b_< a l w E
abamalayisense 1.0	a b_< a m a l a j i s E n ts_> E
abamane 1.0	a b_< a m a n E
abamangalelwa 1.0	a b_< a m a N g a l E l w a
abamaphakathi 1.0	a b_< a m a p_h a k a t_h i
abamaphepha 1.0	a b_< a m a p_h E p_h a
abambalwa 1.0	a b_< a m b a l w a
abambe 1.0	a b_< a m b E
abambiqhaza 1.0	a b_< a m b i !\h a z a
abambise 1.0	a b_< a m b i s E
abambisene 1.0	a b_< a m b i s E n E
abamele 1.0	a b_< a m E l E
abameleizishayamthetho 1.0	a b_< a m E l E i z i S a j a m t_h E t_h O
abameli 1.0	a b_< a m E l i
abamhlophe 1.0	a b_< a m K O p_h E
abammele 1.0	a b_< a m m E l E
abammeli 1.0	a b_< a m m E l i
abammelki 1.0	a b_< a m m E l k i
abamnyama 1.0	a b_< a m J a m a
abampisholo 1.0	a b_< a m p_> i S O l O
abampofu 1.0	a b_< a m p_> O f u
abamsulwa 1.0	a b_< a m s u l w a
abamukelwe 1.0	a b_< a m u k E l w E
aban 1.0	a b_< a n
abanagunya 1.0	a b_< a n a g u J a
abanakekela 1.0	a b_< a n a k E k E l a
abanakekelanayo 1.0	a b_< a n a k E k E l a n a j O
abanama 1.0	a b_< a n a m a
abanamagunya 1.0	a b_< a n a m a g u J a
abanamakhono 1.0	a b_< a n a m a k_h O n O
abanamalungelo 1.0	a b_< a n a m a l u N g E l O
abanamathalente 1.0	a b_< a n a m a t_h a l E n t_> E
abanawo 1.0	a b_< a n a w O
abanayo 1.0	a b_< a n a j O
abancane 1.0	a b_< a n |\ a n E
abandakanya 1.0	a b_< a n d a k a J a
abandanyeka 1.0	a b_< a n d a J E k a
abandayo 1.0	a b_< a n d a j O
abandlululayo 1.0	a b_< a n K\ u l u l a j O
abane 1.0	a b_< a n E
abanecala 1.0	a b_< a n E |\ a l a
abanegunya 1.0	a b_< a n E g u J a
abanemfundiso 1.0	a b_< a n E m f u n d i s O
abaneminyaka 1.0	a b_< a n E m i J a k a
abanempilo 1.0	a b_< a n E m p_> i l O
abanenkinga 1.0	a b_< a n E N k i N g a
abanentshisekelo 1.0	a b_< a n E n tS_> i s E k E l O
abanesamba 1.0	a b_< a n E s a m b a
abanesibindi 1.0	a b_< a n E s i b_< i n d i
abanezidingo 1.0	a b_< a n E z i d i N g O
abanezifunda 1.0	a b_< a n E z i f u n d a
abanezimvume 1.0	a b_< a n E z i m v u m E
abanezincwadi 1.0	a b_< a n E z i n |\ w a d i
abanezinkinga 1.0	a b_< a n E z i N k i N g a
abanga 1.0	a b_< a N g a
abangabahlanganyeli 1.0	a b_< a N g a b_< a K a N g a J E l i
abangabahlengikazi 1.0	a b_< a N g a b_< a K E N g i k a z i
abangabahwebi 1.0	a b_< a N g a b_< a h w E b_< i
abangabanikazi 1.0	a b_< a N g a b_< a n i k a z i
abangabatshali 1.0	a b_< a N g a b_< a tS_> a l i
abangadumile 1.0	a b_< a N g a d u m i l E
abangafuni 1.0	a b_< a N g a f u n i
abangahambisani 1.0	a b_< a N g a h a m b i s a n i
abangahlangabezana 1.0	a b_< a N g a K a N g a b_< E z a n a
abangahle 1.0	a b_< a N g a K E
abangahlungiwe 1.0	a b_< a N g a K u N g i w E
abangakaze 1.0	a b_< a N g a k a z E
abangaki 1.0	a b_< a N g a k i
abangakufezi 1.0	a b_< a N g a k u f E z i
abangakwazi 1.0	a b_< a N g a k w a z i
abangamalunga 1.0	a b_< a N g a m a l u N g a
abangamaphini 1.0	a b_< a N g a m a p_h i n i
abanganayo 1.0	a b_< a N g a n a j O
abangani 1.0	a b_< a N g a n i
abanganikwa 1.0	a b_< a N g a n i k w a
abangaphakathi 1.0	a b_< a N g a p_h a k a t_h i
abangaphandle 1.0	a b_< a N g a p_h a n K\ E
abangaqhubeka 1.0	a b_< a N g a !\h u b_< E k a
abangarejistiwe 1.0	a b_< a N g a r E d_0Z i s t_> i w E
abangasakukhumbuli 1.0	a b_< a N g a s a k u k_h u m b u l i
abangase 1.0	a b_< a N g a s E
abangathola 1.0	a b_< a N g a t_h O l a
abangathwalwa 1.0	a b_< a N g a t_h w a l w a
abangavumeleka 1.0	a b_< a N g a v u m E l E k a
abangayenza 1.0	a b_< a N g a j E n dz a
abangazange 1.0	a b_< a N g a z a N g E
abangaze 1.0	a b_< a N g a z E
abangaziwa 1.0	a b_< a N g a z i w a
abangcono 1.0	a b_< a N |\g_0 O n O
abangeke 1.0	a b_< a N g E k E
abangela 1.0	a b_< a N g E l a
abangena 1.0	a b_< a N g E n a
abangenamabhodwe 1.0	a b_< a N g E n a m a b O d w E
abangenele 1.0	a b_< a N g E n E l E
abangenelwa 1.0	a b_< a N g E n E l w a
abangenza 1.0	a b_< a N g E n dz a
abangesibo 1.0	a b_< a N g E s i b_< O
abangewona 1.0	a b_< a N g E w O n a
abangochwepheshe 1.0	a b_< a N g O |\h w E p_h E S E
abangomakhelwane 1.0	a b_< a N g O m a k_h E l w a n E
abangongoti 1.0	a b_< a N g O N g O t_> i
abangontanga 1.0	a b_< a N g O n t_> a N g a
abanhlobonhlobo 1.0	a b_< a n K O b_< O n K O b_< O
abanikazi 1.0	a b_< a n i k a z i
abanikela 1.0	a b_< a n i k E l a
abanikelayo 1.0	a b_< a n i k E l a j O
abaningi 1.0	a b_< a n i N g i
abanini 1.0	a b_< a n i n i
abanjalo 1.0	a b_< a J d_0Z a l O
abanjani 1.0	a b_< a J d_0Z a n i
abanjengomama 1.0	a b_< a J d_0Z E N g O m a m a
abanobungcweti 1.0	a b_< a n O b_< u N |\g_0 w E t_> i
abanobungoti 1.0	a b_< a n O b_< u N g O t_> i
abanohlonze 1.0	a b_< a n O K O n dz E
abanokukwenza 1.0	a b_< a n O k u k w E n dz a
abanokuzimisela 1.0	a b_< a n O k u z i m i s E l a
abanolwazi 1.0	a b_< a n O l w a z i
abanothando 1.0	a b_< a n O t_h a n d O
abanozwela 1.0	a b_< a n O z w E l a
abant 1.0	a b_< a n t_>
abantabakhe 1.0	a b_< a n t_> a b_< a k_h E
abantu 1.0	a b_< a n t_> u
abantulayo 1.0	a b_< a n t_> u l a j O
abantwana 1.0	a b_< a n t_> w a n a
abanukubeza 1.0	a b_< a n u k u b_< E z a
abanye 1.0	a b_< a J E
abapendile 1.0	a b_< a p_> E n d i l E
abaphathelene 1.0	a b_< a p_h a t_h E l E n E
abaphathi 1.0	a b_< a p_h a t_h i
abaphathisikhundla 1.0	a b_< a p_h a t_h i s i k_h u n K\ a
abaphathiswaukuba 1.0	a b_< a p_h a t_h i s w a u k u b_< a
abaphehla 1.0	a b_< a p_h E K a
abaphelekezele 1.0	a b_< a p_h E l E k E z E l E
abaphelele 1.0	a b_< a p_h E l E l E
abaphelezela 1.0	a b_< a p_h E l E z E l a
abaphendula 1.0	a b_< a p_h E n d u l a
abaphephise 1.0	a b_< a p_h E p_h i s E
abaphethe 1.0	a b_< a p_h E t_h E
abaphezulu 1.0	a b_< a p_h E z u l u
abaphila 1.0	a b_< a p_h i l a
abaphilayo 1.0	a b_< a p_h i l a j O
abaphinde 1.0	a b_< a p_h i n d E
abaphuma 1.0	a b_< a p_h u m a
abaprintile 1.0	a b_< a p_> r i n t_> i l E
abaqaphi 1.0	a b_< a !\ a p_h i
abaqashelwa 1.0	a b_< a !\ a S E l w a
abaqashi 1.0	a b_< a !\ a S i
abaqashiwe 1.0	a b_< a !\ a S i w E
